repetition_penalty,ROUGE-L,BLEU,Token-F1,BERTScore
1.0,0.8520064513360422,0.7682081615247984,0.8642664083023369,0.96041906139125
1.2,0.7158771525566477,0.5805019011885063,0.7007488864792909,0.9375080660633419
1.4,0.26814966964331116,0.09707513770012477,0.23416959762558665,0.8430149334928264
1.6,0.07859395360385062,0.0030171301252980296,0.0406183862330527,0.7827971437703009
1.8,0.059057358913147985,0.0007686328083278016,0.015545800515844428,0.7655493764773659
