threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.6,0.2608695652173913,"(0.20869565217391303, 0.3217391304347826)",0.9347826086956522,0.27906976744186046,"(0.2227230812120692, 0.3413023392321405)",0.0,"(0.0, 0.0)"
0.65,0.2217391304347826,"(0.17380434782608695, 0.27391304347826084)",0.9347826086956522,0.2372093023255814,"(0.18347654735753974, 0.2938527040793728)",0.0,"(0.0, 0.0)"
0.7000000000000001,0.13478260869565217,"(0.09130434782608696, 0.1782608695652174)",0.9347826086956522,0.14418604651162792,"(0.09767441860465116, 0.18983688630490955)",0.0,"(0.0, 0.0)"
0.7500000000000001,0.09565217391304348,"(0.06086956521739131, 0.13054347826086946)",0.9347826086956522,0.10232558139534884,"(0.06450873039360758, 0.14221821756225425)",0.0,"(0.0, 0.0)"
0.8000000000000002,0.06521739130434782,"(0.034782608695652174, 0.1)",0.9347826086956522,0.06976744186046512,"(0.037037037037037035, 0.1052691936262675)",0.0,"(0.0, 0.0)"
0.8500000000000002,0.030434782608695653,"(0.008695652173913044, 0.05217391304347826)",0.9347826086956522,0.03255813953488372,"(0.009389671361502348, 0.0571496924128503)",0.0,"(0.0, 0.0)"
0.9000000000000002,0.013043478260869565,"(0.0, 0.030434782608695653)",0.9347826086956522,0.013953488372093023,"(0.0, 0.03226179808841099)",0.0,"(0.0, 0.0)"
0.9500000000000003,0.004347826086956522,"(0.0, 0.013043478260869565)",0.9347826086956522,0.004651162790697674,"(0.0, 0.014355792234081706)",0.0,"(0.0, 0.0)"
