threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.5,0.8695652173913043,"(0.8260869565217391, 0.9130434782608695)",0.8956521739130435,0.9563106796116505,"(0.9299811320754717, 0.9812206572769953)",0.125,"(0.0, 0.2727272727272727)"
0.55,0.8521739130434782,"(0.808695652173913, 0.8957608695652174)",0.8956521739130435,0.9368932038834952,"(0.9068396913220734, 0.9669811320754716)",0.125,"(0.0, 0.2727272727272727)"
0.6000000000000001,0.8260869565217391,"(0.7739130434782608, 0.8739130434782608)",0.8956521739130435,0.912621359223301,"(0.8756212954366922, 0.9512195121951219)",0.08333333333333333,"(0.0, 0.2083881578947368)"
0.6500000000000001,0.7913043478260869,"(0.7347826086956522, 0.8391304347826087)",0.8956521739130435,0.8786407766990292,"(0.8316831683168316, 0.9198207325715297)",0.041666666666666664,"(0.0, 0.13795498084291186)"
0.7000000000000002,0.7565217391304347,"(0.6956521739130435, 0.8088043478260869)",0.8956521739130435,0.8398058252427184,"(0.7860607675906183, 0.8873495829345002)",0.041666666666666664,"(0.0, 0.13795498084291186)"
0.7500000000000002,0.7086956521739131,"(0.6434782608695652, 0.7652173913043478)",0.8956521739130435,0.7912621359223301,"(0.7277115211521152, 0.8446879679273535)",0.0,"(0.0, 0.0)"
0.8000000000000003,0.6739130434782609,"(0.6130434782608696, 0.7347826086956522)",0.8956521739130435,0.7524271844660194,"(0.6915037313432836, 0.8069544700775496)",0.0,"(0.0, 0.0)"
0.8500000000000003,0.6434782608695652,"(0.5782608695652174, 0.7001086956521738)",0.8956521739130435,0.7184466019417476,"(0.6553070215800856, 0.7777777777777778)",0.0,"(0.0, 0.0)"
0.9000000000000004,0.6,"(0.5304347826086957, 0.6608695652173913)",0.8956521739130435,0.6699029126213593,"(0.6009846295945435, 0.731724493301271)",0.0,"(0.0, 0.0)"
0.9500000000000004,0.4,"(0.3391304347826087, 0.4609782608695651)",0.8956521739130435,0.44660194174757284,"(0.37785346957857474, 0.5117398705026366)",0.0,"(0.0, 0.0)"
