threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.4,0.9391304347826087,"(0.908695652173913, 0.9695652173913043)",0.8956521739130435,1.0,"(1.0, 1.0)",0.4166666666666667,"(0.22723607038123167, 0.6153846153846154)"
0.45,0.908695652173913,"(0.8695652173913043, 0.9434782608695652)",0.8956521739130435,0.9902912621359223,"(0.9753664097936887, 1.0)",0.20833333333333334,"(0.05555555555555555, 0.39134316770186334)"
0.5,0.9,"(0.8608695652173913, 0.9391304347826087)",0.8956521739130435,0.9854368932038835,"(0.9663461538461539, 1.0)",0.16666666666666666,"(0.041625, 0.34615384615384615)"
0.55,0.8956521739130435,"(0.8565217391304348, 0.9347826086956522)",0.8956521739130435,0.9805825242718447,"(0.960586255669902, 0.9952612223911294)",0.16666666666666666,"(0.041625, 0.34615384615384615)"
0.6,0.8652173913043478,"(0.8217391304347826, 0.908695652173913)",0.8956521739130435,0.9466019417475728,"(0.9158128431326545, 0.975609756097561)",0.16666666666666666,"(0.041625, 0.34615384615384615)"
0.6499999999999999,0.8304347826086956,"(0.7782608695652173, 0.8782608695652174)",0.8956521739130435,0.9174757281553398,"(0.8787842012356576, 0.95260663507109)",0.08333333333333333,"(0.0, 0.2083881578947368)"
0.7,0.7956521739130434,"(0.7391304347826086, 0.8478260869565217)",0.8956521739130435,0.883495145631068,"(0.8341034755134281, 0.9271932601660335)",0.041666666666666664,"(0.0, 0.13795498084291186)"
0.75,0.7782608695652173,"(0.7217391304347827, 0.8304347826086956)",0.8956521739130435,0.8640776699029126,"(0.8131000600060007, 0.909546908315565)",0.041666666666666664,"(0.0, 0.13795498084291186)"
0.7999999999999999,0.7434782608695653,"(0.6826086956521739, 0.7956521739130434)",0.8956521739130435,0.8300970873786407,"(0.7751166267942584, 0.8774630626898646)",0.0,"(0.0, 0.0)"
0.8499999999999999,0.6826086956521739,"(0.6217391304347826, 0.7391304347826086)",0.8956521739130435,0.7621359223300971,"(0.7040766792153754, 0.8195340989817664)",0.0,"(0.0, 0.0)"
0.8999999999999999,0.6304347826086957,"(0.5652173913043478, 0.691304347826087)",0.8956521739130435,0.7038834951456311,"(0.6372326203208556, 0.7647058823529411)",0.0,"(0.0, 0.0)"
0.9499999999999998,0.5043478260869565,"(0.4391304347826087, 0.5652173913043478)",0.8956521739130435,0.5631067961165048,"(0.490382281553398, 0.625615763546798)",0.0,"(0.0, 0.0)"
