threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.5,0.8486238532110092,"(0.8027522935779816, 0.8944954128440367)",0.9678899082568807,0.8767772511848341,"(0.8301685594205491, 0.9205699847859161)",0.0,"(0.0, 0.0)"
0.55,0.8256880733944955,"(0.7752293577981652, 0.8761467889908257)",0.9678899082568807,0.8530805687203792,"(0.8056669749161947, 0.9009433962264151)",0.0,"(0.0, 0.0)"
0.6000000000000001,0.7935779816513762,"(0.7385321100917431, 0.8440366972477065)",0.9678899082568807,0.8199052132701422,"(0.7681073562744694, 0.8695808946488294)",0.0,"(0.0, 0.0)"
0.6500000000000001,0.7614678899082569,"(0.7064220183486238, 0.8211009174311926)",0.9678899082568807,0.7867298578199052,"(0.7298256601218687, 0.8443396226415094)",0.0,"(0.0, 0.0)"
0.7000000000000002,0.7064220183486238,"(0.6422018348623854, 0.766169724770642)",0.9678899082568807,0.7298578199052133,"(0.6650937753904487, 0.7914691943127962)",0.0,"(0.0, 0.0)"
0.7500000000000002,0.6467889908256881,"(0.5825688073394495, 0.7110091743119266)",0.9678899082568807,0.6682464454976303,"(0.6056338028169014, 0.7324178403755869)",0.0,"(0.0, 0.0)"
0.8000000000000003,0.5825688073394495,"(0.518348623853211, 0.6467889908256881)",0.9678899082568807,0.6018957345971564,"(0.5333254716981132, 0.6682866958434431)",0.0,"(0.0, 0.0)"
0.8500000000000003,0.5412844036697247,"(0.47706422018348627, 0.6056192660550458)",0.9678899082568807,0.5592417061611374,"(0.492956077698418, 0.6273722027204914)",0.0,"(0.0, 0.0)"
0.9000000000000004,0.4036697247706422,"(0.3440366972477064, 0.4724770642201835)",0.9678899082568807,0.41706161137440756,"(0.35373876909254265, 0.4881516587677725)",0.0,"(0.0, 0.0)"
0.9500000000000004,0.1559633027522936,"(0.11009174311926606, 0.21100917431192662)",0.9678899082568807,0.16113744075829384,"(0.11318109680832306, 0.2169811320754717)",0.0,"(0.0, 0.0)"
