threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.4,0.9251101321585903,"(0.8898678414096917, 0.9559471365638766)",0.920704845814978,0.9808612440191388,"(0.9609756097560975, 0.9953057127813612)",0.2777777777777778,"(0.07142857142857142, 0.5)"
0.45,0.9162995594713657,"(0.8766519823788547, 0.9515418502202643)",0.920704845814978,0.9808612440191388,"(0.9609756097560975, 0.9953057127813612)",0.16666666666666666,"(0.0, 0.35304621848739487)"
0.5,0.9030837004405287,"(0.8590308370044053, 0.9383259911894273)",0.920704845814978,0.9665071770334929,"(0.9380878332194121, 0.986046511627907)",0.16666666666666666,"(0.0, 0.35304621848739487)"
0.55,0.8766519823788547,"(0.832488986784141, 0.9162995594713657)",0.920704845814978,0.937799043062201,"(0.899988038277512, 0.9669850075294534)",0.16666666666666666,"(0.0, 0.35304621848739487)"
0.6,0.8590308370044053,"(0.8105726872246696, 0.9030837004405287)",0.920704845814978,0.9186602870813397,"(0.8787842012356576, 0.9526122239112939)",0.16666666666666666,"(0.0, 0.35304621848739487)"
0.6499999999999999,0.8193832599118943,"(0.7665198237885462, 0.8678414096916299)",0.920704845814978,0.8851674641148325,"(0.8396119749691856, 0.9262723637842234)",0.05555555555555555,"(0.0, 0.1766042780748662)"
0.7,0.775330396475771,"(0.7180616740088106, 0.8281938325991189)",0.920704845814978,0.8421052631578947,"(0.7912424872861766, 0.8873359670216421)",0.0,"(0.0, 0.0)"
0.75,0.7268722466960352,"(0.6696035242290749, 0.7797356828193832)",0.920704845814978,0.7894736842105263,"(0.7330097087378641, 0.8396320754716982)",0.0,"(0.0, 0.0)"
0.7999999999999999,0.6431718061674009,"(0.5814977973568282, 0.7004405286343612)",0.920704845814978,0.6985645933014354,"(0.6338028169014085, 0.7582978455480001)",0.0,"(0.0, 0.0)"
0.8499999999999999,0.5594713656387665,"(0.4976872246696035, 0.6211453744493393)",0.920704845814978,0.6076555023923444,"(0.5420514709267529, 0.6714993606138108)",0.0,"(0.0, 0.0)"
0.8999999999999999,0.44052863436123346,"(0.3744493392070485, 0.5066079295154186)",0.920704845814978,0.4784688995215311,"(0.40972854127579733, 0.5462974254742547)",0.0,"(0.0, 0.0)"
0.9499999999999998,0.2555066079295154,"(0.2026431718061674, 0.31277533039647576)",0.920704845814978,0.27751196172248804,"(0.22115384615384615, 0.33983871699482804)",0.0,"(0.0, 0.0)"
