threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.4,0.9495412844036697,"(0.9174311926605505, 0.9770642201834863)",0.9678899082568807,0.976303317535545,"(0.9528301886792453, 0.9952386594448206)",0.14285714285714285,"(0.0, 0.5)"
0.45,0.9357798165137615,"(0.9036697247706422, 0.9678899082568807)",0.9678899082568807,0.966824644549763,"(0.9386719797907538, 0.9904306220095693)",0.0,"(0.0, 0.0)"
0.5,0.908256880733945,"(0.8669724770642202, 0.944954128440367)",0.9678899082568807,0.9383886255924171,"(0.9028750170928483, 0.9711572966507177)",0.0,"(0.0, 0.0)"
0.55,0.8853211009174312,"(0.8440366972477065, 0.926605504587156)",0.9678899082568807,0.9146919431279621,"(0.8767772511848341, 0.9528301886792453)",0.0,"(0.0, 0.0)"
0.6,0.8440366972477065,"(0.7935779816513762, 0.8900229357798164)",0.9678899082568807,0.8720379146919431,"(0.8277349863614005, 0.919431279620853)",0.0,"(0.0, 0.0)"
0.6499999999999999,0.8165137614678899,"(0.7660550458715596, 0.8669724770642202)",0.9678899082568807,0.8436018957345972,"(0.7934272300469484, 0.8894230769230769)",0.0,"(0.0, 0.0)"
0.7,0.7889908256880734,"(0.7339449541284404, 0.8394495412844036)",0.9678899082568807,0.8151658767772512,"(0.7630331753554502, 0.8651229874776386)",0.0,"(0.0, 0.0)"
0.75,0.7385321100917431,"(0.6788990825688074, 0.7981651376146789)",0.9678899082568807,0.7630331753554502,"(0.7075471698113207, 0.8224433215579304)",0.0,"(0.0, 0.0)"
0.7999999999999999,0.6743119266055045,"(0.6100917431192661, 0.7339449541284404)",0.9678899082568807,0.6966824644549763,"(0.6350393832187438, 0.7607884675580199)",0.0,"(0.0, 0.0)"
0.8499999999999999,0.6100917431192661,"(0.5458715596330275, 0.6743119266055045)",0.9678899082568807,0.6303317535545023,"(0.5653998792648571, 0.6941912803682939)",0.0,"(0.0, 0.0)"
0.8999999999999999,0.5504587155963303,"(0.48623853211009177, 0.6192660550458715)",0.9678899082568807,0.5687203791469194,"(0.5023696682464455, 0.6401869158878505)",0.0,"(0.0, 0.0)"
0.9499999999999998,0.38073394495412843,"(0.3211009174311927, 0.4541284403669725)",0.9678899082568807,0.3933649289099526,"(0.3301499247054655, 0.46451813019762134)",0.0,"(0.0, 0.0)"
