threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.5,0.8590308370044053,"(0.8105726872246696, 0.9030837004405287)",0.920704845814978,0.9282296650717703,"(0.8925107498573999, 0.9615384615384616)",0.05555555555555555,"(0.0, 0.1766042780748662)"
0.55,0.8281938325991189,"(0.775330396475771, 0.8766519823788547)",0.920704845814978,0.8947368421052632,"(0.8516746411483254, 0.9339700150589069)",0.05555555555555555,"(0.0, 0.1766042780748662)"
0.6000000000000001,0.7841409691629956,"(0.7224669603524229, 0.8371145374449338)",0.920704845814978,0.84688995215311,"(0.7979817303553494, 0.8927216228893058)",0.05555555555555555,"(0.0, 0.1766042780748662)"
0.6500000000000001,0.73568281938326,"(0.6783039647577093, 0.7929515418502202)",0.920704845814978,0.7990430622009569,"(0.7415957397865293, 0.8523809523809524)",0.0,"(0.0, 0.0)"
0.7000000000000002,0.6651982378854625,"(0.6035242290748899, 0.7224669603524229)",0.920704845814978,0.722488038277512,"(0.6620337301587302, 0.7819952137393834)",0.0,"(0.0, 0.0)"
0.7500000000000002,0.6211453744493393,"(0.5594713656387665, 0.6784140969162996)",0.920704845814978,0.6746411483253588,"(0.6110977564102564, 0.7346216505650748)",0.0,"(0.0, 0.0)"
0.8000000000000003,0.5814977973568282,"(0.5154185022026432, 0.6387665198237885)",0.920704845814978,0.631578947368421,"(0.5639810426540285, 0.6948356807511737)",0.0,"(0.0, 0.0)"
0.8500000000000003,0.4845814977973568,"(0.4185022026431718, 0.5419603524229074)",0.920704845814978,0.5263157894736842,"(0.4583035714285714, 0.5868597155069722)",0.0,"(0.0, 0.0)"
0.9000000000000004,0.3524229074889868,"(0.29504405286343616, 0.41409691629955947)",0.920704845814978,0.3827751196172249,"(0.32056951735030426, 0.44828847771236335)",0.0,"(0.0, 0.0)"
0.9500000000000004,0.14977973568281938,"(0.10572687224669604, 0.19383259911894274)",0.920704845814978,0.16267942583732056,"(0.115375, 0.21397050482132726)",0.0,"(0.0, 0.0)"
