threshold,trigger_rate,trigger_rate_ci,leakage_rate,blocked_leakage,blocked_leakage_ci,false_positive_rate,false_positive_rate_ci
0.6,0.6521739130434783,"(0.5869565217391305, 0.7086956521739131)",0.8956521739130435,0.7281553398058253,"(0.6649135273147702, 0.7850091463414635)",0.0,"(0.0, 0.0)"
0.65,0.6130434782608696,"(0.5478260869565217, 0.6695652173913044)",0.8956521739130435,0.6844660194174758,"(0.6187938454649485, 0.7416467304625199)",0.0,"(0.0, 0.0)"
0.7000000000000001,0.5869565217391305,"(0.5217391304347826, 0.6434782608695652)",0.8956521739130435,0.6553398058252428,"(0.587378640776699, 0.7115384615384616)",0.0,"(0.0, 0.0)"
0.7500000000000001,0.46956521739130436,"(0.4, 0.5347826086956522)",0.8956521739130435,0.5242718446601942,"(0.4492629904559915, 0.588242330424993)",0.0,"(0.0, 0.0)"
0.8000000000000002,0.3739130434782609,"(0.30869565217391304, 0.43478260869565216)",0.8956521739130435,0.4174757281553398,"(0.34672386321853166, 0.4836038732394366)",0.0,"(0.0, 0.0)"
0.8500000000000002,0.24347826086956523,"(0.18695652173913044, 0.2956521739130435)",0.8956521739130435,0.27184466019417475,"(0.21252806695243928, 0.33004926108374383)",0.0,"(0.0, 0.0)"
0.9000000000000002,0.13043478260869565,"(0.08695652173913043, 0.16956521739130434)",0.8956521739130435,0.14563106796116504,"(0.09707954901346696, 0.19138755980861244)",0.0,"(0.0, 0.0)"
0.9500000000000003,0.034782608695652174,"(0.013043478260869565, 0.06086956521739131)",0.8956521739130435,0.038834951456310676,"(0.014632370352829743, 0.0679948091896568)",0.0,"(0.0, 0.0)"
